Country_of_Operator,Operator_Owner,Users,Purpose,Class_of_Orbit,Type_of_Orbit,Perigee_km,Apogee_km,Eccentricity,Period_minutes,Launch_Mass_kg,Dry_Mass_kg,Power_watts,Date_of_Launch,Anticipated_Lifetime,Contractor,Country_of_Contractor,Launch_Site,Launch_Vehicle,Source_Used_for_Orbital_Data,longitude_radians_of_geo,Inclination_radians
42.0,20.0,10.0,41.0,2.0,6.0,594.0,886.0,0.02053,99.6,10.0,nan,nan,41599.0,2.0,271.0,3.0,2.0,39.0,31.0,nan,1.705186679
35.0,26.0,5.0,4.0,1.0,nan,35778.0,35794.0,0.00018999999999999998,1436.1,1980.0,nan,nan,39308.0,13.0,134.0,47.0,3.0,8.0,6.0,1.918291381,0.000523599
35.0,26.0,5.0,4.0,1.0,nan,33066.0,35725.0,0.03261,1365.61,2060.0,975.0,nan,40479.0,15.0,134.0,47.0,3.0,8.0,24.0,1.919862177,0.00122173
35.0,27.0,5.0,4.0,1.0,nan,35784.0,35787.0,4e-05,1436.04,2910.0,nan,nan,40761.0,15.0,134.0,47.0,3.0,8.0,24.0,1.919862177,0.000872665
65.0,312.0,15.0,44.0,2.0,nan,403.0,813.0,0.02938,96.85,384.0,nan,nan,39554.0,nan,76.0,47.0,9.0,92.0,36.0,nan,0.226892803
22.0,37.0,10.0,16.0,2.0,6.0,702.0,703.0,7e-05,98.8,587.0,nan,550.0,38835.0,3.0,8.0,9.0,21.0,29.0,36.0,nan,1.713913325
48.0,270.0,10.0,31.0,2.0,6.0,501.0,505.0,0.00029,94.7,400.0,110.0,300.0,41112.0,5.0,14.0,33.0,0.0,111.0,36.0,nan,1.7016960209999998
9.0,332.0,0.0,44.0,2.0,6.0,609.0,629.0,0.00143,97.1,7.0,nan,nan,39566.0,nan,271.0,3.0,16.0,90.0,36.0,nan,1.7069320080000001
9.0,332.0,0.0,41.0,2.0,6.0,771.0,783.0,0.00084,100.3,5.0,nan,nan,41330.0,nan,271.0,3.0,13.0,79.0,24.0,nan,1.720894642
9.0,333.0,1.0,44.0,2.0,6.0,611.0,631.0,0.00143,97.1,16.0,6.5,nan,39566.0,0.5,273.0,3.0,16.0,90.0,36.0,nan,1.7069320080000001
65.0,325.0,0.0,44.0,2.0,6.0,500.0,506.0,0.00044,94.67,nan,nan,nan,41597.0,nan,264.0,47.0,22.0,73.0,31.0,nan,0.70703288
27.0,120.0,10.0,31.0,2.0,6.0,618.0,619.0,7e-05,97.1,1560.0,1450.0,1100.0,38477.0,6.0,97.0,19.0,13.0,87.0,36.0,nan,1.7086773380000002
27.0,120.0,10.0,31.0,2.0,6.0,632.0,635.0,0.00021,97.4,680.0,nan,nan,39092.0,nan,97.0,19.0,13.0,88.0,36.0,nan,1.692969374
27.0,120.0,15.0,31.0,2.0,6.0,624.0,643.0,0.0013599999999999999,97.4,680.0,nan,nan,39566.0,nan,97.0,19.0,16.0,90.0,36.0,nan,1.7086773380000002
27.0,120.0,10.0,31.0,2.0,6.0,622.0,645.0,0.00164,97.4,694.0,nan,nan,40371.0,nan,97.0,19.0,16.0,79.0,36.0,nan,1.7086773380000002
9.0,31.0,10.0,16.0,0.0,nan,325.0,1486.0,0.07979,103.11,490.0,nan,600.0,41546.0,2.0,42.0,3.0,21.0,44.0,31.0,nan,1.413716694
65.0,161.0,10.0,44.0,2.0,nan,538.0,544.0,0.00043,95.5,159.0,nan,110.0,39150.0,nan,232.0,52.0,1.0,19.0,36.0,nan,0.617846555
65.0,185.0,10.0,1.0,0.0,1.0,9999.0,138825.0,0.79737,3808.92,4742.0,nan,2500.0,36364.0,5.0,243.0,47.0,1.0,120.0,22.0,nan,0.497418837
11.0,45.0,7.0,4.0,1.0,nan,35777.0,35797.0,0.00023999999999999998,1436.1,4600.0,nan,9500.0,39269.0,15.0,250.0,10.0,23.0,64.0,6.0,2.017251549,0.000872665
11.0,46.0,10.0,4.0,2.0,6.0,729.0,748.0,0.00134,99.6,100.0,nan,nan,37915.0,nan,47.0,5.0,18.0,64.0,36.0,nan,1.7191493130000002
